function_name	file	parameters	line_number
Card#setIsUnlockableBasic	app/sdk/cards/card.coffee	val	647
Card#getIsUnlockableBasic	app/sdk/cards/card.coffee		655
Card#getIsUnlockablePrismaticBasic	app/sdk/cards/card.coffee		663
Card#getIsUnlockableThroughProgression	app/sdk/cards/card.coffee		672
Card#setIsUnlockableWithAchievement	app/sdk/cards/card.coffee	val	679
Card#getIsUnlockableWithAchievement	app/sdk/cards/card.coffee		686
Card#setIsUnlockedWithAchievementId	app/sdk/cards/card.coffee	val	693
Card#getIsUnlockedWithAchievementId	app/sdk/cards/card.coffee		700
Card#getIsUnlockablePrismaticWithAchievement	app/sdk/cards/card.coffee		707
Card#getIsUnlockableThroughSpiritOrbs	app/sdk/cards/card.coffee		716
Card#getIsUnlockablePrismaticWithSpiritOrbs	app/sdk/cards/card.coffee		724
Card#getIsUnlockable	app/sdk/cards/card.coffee		732
Card#setUnlockDescription	app/sdk/cards/card.coffee	val	744
Card#getUnlockDescription	app/sdk/cards/card.coffee		752
Card#getIsCollectible	app/sdk/cards/card.coffee		760
Card#setIsLegacy	app/sdk/cards/card.coffee	val	773
Card#getIsLegacy	app/sdk/cards/card.coffee		781
Card#isSignatureCard	app/sdk/cards/card.coffee		790
Card#setLocation	app/sdk/cards/card.coffee	val	794
Card#getLocation	app/sdk/cards/card.coffee		797
Card#getIsLocatedInDeck	app/sdk/cards/card.coffee		800
Card#getIsLocatedInHand	app/sdk/cards/card.coffee		803
Card#getIsLocatedInSignatureCards	app/sdk/cards/card.coffee		806
Card#getIsLocatedOnBoard	app/sdk/cards/card.coffee		809
Card#getIsLocatedInVoid	app/sdk/cards/card.coffee		812
Card#setIsRemoved	app/sdk/cards/card.coffee	val	815
Card#getIsRemoved	app/sdk/cards/card.coffee		818
Card#setIsPlayed	app/sdk/cards/card.coffee	val	821
Card#getIsPlayed	app/sdk/cards/card.coffee		824
Card#setAppliedToDeckByAction	app/sdk/cards/card.coffee	action	827
Card#getAppliedToDeckByActionIndex	app/sdk/cards/card.coffee		831
Card#getAppliedToDeckByAction	app/sdk/cards/card.coffee		834
Card#setAppliedToHandByAction	app/sdk/cards/card.coffee	action	838
Card#getAppliedToHandByActionIndex	app/sdk/cards/card.coffee		842
Card#getAppliedToHandByAction	app/sdk/cards/card.coffee		845
Card#setAppliedToBoardByAction	app/sdk/cards/card.coffee	action	849
Card#getAppliedToBoardByActionIndex	app/sdk/cards/card.coffee		853
Card#getAppliedToBoardByAction	app/sdk/cards/card.coffee		856
Card#setAppliedToSignatureCardsByAction	app/sdk/cards/card.coffee	action	860
Card#getAppliedToSignatureCardsByActionIndex	app/sdk/cards/card.coffee		864
Card#getAppliedToSignatureCardsByAction	app/sdk/cards/card.coffee		867
Card#setRemovedFromDeckByAction	app/sdk/cards/card.coffee	action	871
Card#getRemovedFromDeckByActionIndex	app/sdk/cards/card.coffee		875
Card#getRemovedFromDeckByAction	app/sdk/cards/card.coffee		878
Card#setRemovedFromHandByAction	app/sdk/cards/card.coffee	action	882
Card#getRemovedFromHandByActionIndex	app/sdk/cards/card.coffee		886
Card#getRemovedFromHandByAction	app/sdk/cards/card.coffee		889
Card#setRemovedFromSignatureCardsByAction	app/sdk/cards/card.coffee	action	893
Card#getRemovedFromSignatureCardsByActionIndex	app/sdk/cards/card.coffee		897
Card#getRemovedFromSignatureCardsByAction	app/sdk/cards/card.coffee		900
Card#setRemovedFromBoardByAction	app/sdk/cards/card.coffee	action	904
Card#getRemovedFromBoardByActionIndex	app/sdk/cards/card.coffee		908
Card#getRemovedFromBoardByAction	app/sdk/cards/card.coffee		911
Card#getIsActive	app/sdk/cards/card.coffee		915
Card#getManaCost	app/sdk/cards/card.coffee		918
Card#setBaseManaCost	app/sdk/cards/card.coffee	manaCost	921
Card#getBaseManaCost	app/sdk/cards/card.coffee		926
Card#getLastBaseManaCost	app/sdk/cards/card.coffee		929
Card#getManaCostChange	app/sdk/cards/card.coffee		932
Card#setPosition	app/sdk/cards/card.coffee	position	935
Card#getPositionX	app/sdk/cards/card.coffee		938
Card#getPositionY	app/sdk/cards/card.coffee		941
Card#getPosition	app/sdk/cards/card.coffee		944
Card#setIsHiddenInCollection	app/sdk/cards/card.coffee	val	952
Card#getIsHiddenInCollection	app/sdk/cards/card.coffee		960
Card#setAvailableAt	app/sdk/cards/card.coffee	val	970
Card#getAvailableAt	app/sdk/cards/card.coffee		978
Card#getIsAvailable	app/sdk/cards/card.coffee	systemTime, forceValidation	989
Card#setPortraitResource	app/sdk/cards/card.coffee	val	1009
Card#getPortraitResource	app/sdk/cards/card.coffee		1012
Card#setPortraitHexResource	app/sdk/cards/card.coffee	val	1015
Card#getPortraitHexResource	app/sdk/cards/card.coffee		1018
Card#setSpeechResource	app/sdk/cards/card.coffee	val	1021
Card#getSpeechResource	app/sdk/cards/card.coffee		1024
Card#setConceptResource	app/sdk/cards/card.coffee	val	1027
Card#getConceptResource	app/sdk/cards/card.coffee		1030
Card#setAnnouncerFirstResource	app/sdk/cards/card.coffee	val	1033
Card#getAnnouncerFirstResource	app/sdk/cards/card.coffee		1036
Card#setAnnouncerSecondResource	app/sdk/cards/card.coffee	val	1039
Card#getAnnouncerSecondResource	app/sdk/cards/card.coffee		1042
Card#setOwnerId	app/sdk/cards/card.coffee	ownerId	1045
Card#getOwnerId	app/sdk/cards/card.coffee		1050
Card#setBossBattleDescription	app/sdk/cards/card.coffee	val	1053
Card#getBossBattleDescription	app/sdk/cards/card.coffee	val	1056
Card#setBossBattleBattleMapIndex	app/sdk/cards/card.coffee	val	1059
Card#getBossBattleBattleMapIndex	app/sdk/cards/card.coffee	val	1062
Card#setOwner	app/sdk/cards/card.coffee	player	1065
Card#getOwner	app/sdk/cards/card.coffee		1068
Card#getIsSameTeamAs	app/sdk/cards/card.coffee	otherCard	1075
Card#isOwnedByGameSession	app/sdk/cards/card.coffee		1079
Card#isOwnedBy	app/sdk/cards/card.coffee	player	1084
Card#isOwnedByPlayer1	app/sdk/cards/card.coffee		1087
Card#isOwnedByPlayer2	app/sdk/cards/card.coffee		1090
Card#isOwnedByCurrentPlayer	app/sdk/cards/card.coffee		1093
Card#isOwnedByMyPlayer	app/sdk/cards/card.coffee		1096
Card#isOwnedByOpponentPlayer	app/sdk/cards/card.coffee		1099
Card#isOwnersTurn	app/sdk/cards/card.coffee		1102
Card#getDoesOwnerHaveEnoughManaToPlay	app/sdk/cards/card.coffee		1105
Card#getIsAllowedToBePlayed	app/sdk/cards/card.coffee		1108
Card#setDescription	app/sdk/cards/card.coffee	val	1117
Card#getDescription	app/sdk/cards/card.coffee	options	1120
Card#setFollowupNameAndDescription	app/sdk/cards/card.coffee	followupName, followupDescription	1201
Card#setNodeOptions	app/sdk/cards/card.coffee	val	1205
Card#getNodeOptions	app/sdk/cards/card.coffee		1208
Card#setSpriteOptions	app/sdk/cards/card.coffee	val	1211
Card#getSpriteOptions	app/sdk/cards/card.coffee		1214
Card#setCardOptions	app/sdk/cards/card.coffee	val	1217
Card#getCardOptions	app/sdk/cards/card.coffee		1220
Card#setBaseAnimResource	app/sdk/cards/card.coffee	animResource	1227
Card#getBaseAnimResource	app/sdk/cards/card.coffee		1232
Card#getAnimResource	app/sdk/cards/card.coffee		1237
Card#getAnimResource	app/sdk/cards/card.coffee		1242
Card#getSoundResource	app/sdk/cards/card.coffee		1268
Card#setBaseSoundResource	app/sdk/cards/card.coffee	soundResource	1289
Card#getBaseSoundResource	app/sdk/cards/card.coffee		1294
Card#getSoundResource	app/sdk/cards/card.coffee		1297
Card#setFXResource	app/sdk/cards/card.coffee	fxResource	1305
Card#getFXResource	app/sdk/cards/card.coffee		1308
Card#addFXResource	app/sdk/cards/card.coffee	fxResource	1320
Card#removeFXResource	app/sdk/cards/card.coffee	fxResource	1323
Card#getValidTargetPositions	app/sdk/cards/card.coffee		1330
Card#getIsPositionValidTarget	app/sdk/cards/card.coffee	targetPosition	1337
Card#flushCachedValidTargetPositions	app/sdk/cards/card.coffee		1346
Card#getCanBeAppliedAnywhere	app/sdk/cards/card.coffee		1350
Card#setAffectPattern	app/sdk/cards/card.coffee	val	1353
Card#getAffectPattern	app/sdk/cards/card.coffee		1357
Card#getAffectPositionsFromPattern	app/sdk/cards/card.coffee	targetPosition	1360
Card#isAreaOfEffectOnBoard	app/sdk/cards/card.coffee	targetPosition	1363
Card#flushCachedIsAreaOfEffectOnBoard	app/sdk/cards/card.coffee		1379
Card#setTargetsSpace	app/sdk/cards/card.coffee	val	1382
Card#getTargetsSpace	app/sdk/cards/card.coffee		1385
Card#setModifiersContextObjects	app/sdk/cards/card.coffee	modifiersContextObjects	1392
Card#getModifiersContextObjects	app/sdk/cards/card.coffee		1396
Card#setInherentModifiersContextObjects	app/sdk/cards/card.coffee	modifiersContextObjects	1399
Card#getInherentModifiersContextObjects	app/sdk/cards/card.coffee		1407
Card#flushCachedModifiersContextObjects	app/sdk/cards/card.coffee		1416
Card#getModifiers	app/sdk/cards/card.coffee		1423
Card#getVisibleModifierStacks	app/sdk/cards/card.coffee		1431
Card#getAttributeModifiers	app/sdk/cards/card.coffee	buffKey	1496
Card#getActiveAttributeModifiers	app/sdk/cards/card.coffee	buffKey	1503
Card#getInherentModifiers	app/sdk/cards/card.coffee		1510
Card#getAdditionalInherentModifiers	app/sdk/cards/card.coffee		1518
Card#getInherentAndAdditionalInherentModifiers	app/sdk/cards/card.coffee		1526
Card#getModifierClassesFromContextObjects	app/sdk/cards/card.coffee		1534
Card#getContextObjectForModifierClass	app/sdk/cards/card.coffee	modifierClass	1543
Card#hasModifierClassInContextObjects	app/sdk/cards/card.coffee	modifierClass	1553
Card#getModifierIndices	app/sdk/cards/card.coffee		1556
Card#onApplyModifiersForApplyToNewLocation	app/sdk/cards/card.coffee		1559
Card#onAddModifier	app/sdk/cards/card.coffee	modifier	1576
Card#onRemoveModifier	app/sdk/cards/card.coffee	modifier	1602
Card#getNumActiveModifiers	app/sdk/cards/card.coffee		1624
Card#getActiveModifiers	app/sdk/cards/card.coffee		1632
Card#getKeywordClasses	app/sdk/cards/card.coffee		1644
Card#getCachedKeywordClasses	app/sdk/cards/card.coffee		1660
Card#hasModifierIndex	app/sdk/cards/card.coffee	index	1686
Card#hasModifierType	app/sdk/cards/card.coffee	type	1691
Card#getModifierByType	app/sdk/cards/card.coffee	type	1694
Card#hasActiveModifierType	app/sdk/cards/card.coffee	type	1698
Card#getActiveModifierByType	app/sdk/cards/card.coffee	type	1701
Card#getActiveModifiersByType	app/sdk/cards/card.coffee	type	1705
Card#getModifiersByType	app/sdk/cards/card.coffee	type	1713
Card#getNumModifiersOfType	app/sdk/cards/card.coffee	type	1719
Card#hasModifierStackType	app/sdk/cards/card.coffee	type	1728
Card#getModifierByStackType	app/sdk/cards/card.coffee	type	1731
Card#getActiveModifierByStackType	app/sdk/cards/card.coffee	type	1735
Card#getActiveModifiersByStackType	app/sdk/cards/card.coffee	type	1739
Card#getModifiersByStackType	app/sdk/cards/card.coffee	type	1747
Card#getNumModifiersOfStackType	app/sdk/cards/card.coffee	type	1757
Card#getNumActiveModifiersOfStackType	app/sdk/cards/card.coffee	type	1760
Card#getNumModifiersOfArtifactStackType	app/sdk/cards/card.coffee	type	1769
Card#getNumActiveModifiersOfArtifactStackType	app/sdk/cards/card.coffee	type	1778
Card#hasModifierClass	app/sdk/cards/card.coffee	modifierClass	1787
Card#getModifierByClass	app/sdk/cards/card.coffee	modifierClass	1793
Card#hasActiveModifierClass	app/sdk/cards/card.coffee	modifierClass	1803
Card#getActiveModifierByClass	app/sdk/cards/card.coffee	modifierClass	1806
Card#getActiveModifiersByClass	app/sdk/cards/card.coffee	modifierClass	1810
Card#getModifiersByClass	app/sdk/cards/card.coffee	modifierClass	1818
Card#getNumModifiersOfClass	app/sdk/cards/card.coffee	modifierClass	1828
Card#getArtifactModifiers	app/sdk/cards/card.coffee		1831
Card#getArtifactModifiersGroupedByArtifactCard	app/sdk/cards/card.coffee		1837
Card#getHasActiveArtifact	app/sdk/cards/card.coffee		1840
Card#getHasModifiers	app/sdk/cards/card.coffee		1846
Card#getHasRemovableModifiers	app/sdk/cards/card.coffee		1849
Card#silence	app/sdk/cards/card.coffee		1856
Card#getIsSilenced	app/sdk/cards/card.coffee		1869
Card#setModifiedGauntletRarities	app/sdk/cards/card.coffee	rarityIds	1877
Card#getModifiedGauntletRarities	app/sdk/cards/card.coffee		1880
Card#setModifiedGauntletFactions	app/sdk/cards/card.coffee	factionIds	1883
Card#getModifiedGauntletFactions	app/sdk/cards/card.coffee		1886
Card#setModifiedGauntletCardTypes	app/sdk/cards/card.coffee	cardTypes	1889
Card#getModifiedGauntletCardTypes	app/sdk/cards/card.coffee		1892
Card#setModifiedGauntletOwnFactionFilter	app/sdk/cards/card.coffee	ownFactionFilter	1896
Card#getModifiedGauntletOwnFactionFilter	app/sdk/cards/card.coffee		1899
Card#_getBuffedAttributeFromModifiers	app/sdk/cards/card.coffee	attributeValue, buffKey, modifiers, withAuras=true, stopAtBase=false, forAuras=false, stopAtNonAuraModifier=null	1907
Card#getBuffedAttribute	app/sdk/cards/card.coffee	attributeValue, buffKey, withAuras=true, clamped=true	1955
Card#getBaseAttribute	app/sdk/cards/card.coffee	attributeValue, buffKey, withAuras=true, clamped=true	1980
Card#setFollowups	app/sdk/cards/card.coffee	val	2003
Card#getFollowups	app/sdk/cards/card.coffee	val	2006
Card#clearFollowups	app/sdk/cards/card.coffee		2009
Card#removeCurrentFollowup	app/sdk/cards/card.coffee		2013
Card#getHasFollowups	app/sdk/cards/card.coffee		2017
Card#getNumFollowups	app/sdk/cards/card.coffee		2020
Card#getIsFollowup	app/sdk/cards/card.coffee		2023
Card#getPositionForFollowupSourcePosition	app/sdk/cards/card.coffee		2026
Card#setFollowupSourcePosition	app/sdk/cards/card.coffee	followupSourcePosition	2029
Card#getFollowupSourcePosition	app/sdk/cards/card.coffee		2032
Card#setFollowupSourcePattern	app/sdk/cards/card.coffee	val	2035
Card#getFollowupSourcePattern	app/sdk/cards/card.coffee		2038
Card#setFollowupConditions	app/sdk/cards/card.coffee	val	2041
Card#getFollowupConditions	app/sdk/cards/card.coffee		2044
Card#getFollowupByIndex	app/sdk/cards/card.coffee	followupIndex	2047
Card#getCurrentFollowup	app/sdk/cards/card.coffee		2051
Card#getCurrentFollowupCard	app/sdk/cards/card.coffee		2055
Card#injectFollowupPropertiesIntoCard	app/sdk/cards/card.coffee	followupCard, followupIndex=0	2066
Card#cleanFollowupPropertiesFromCard	app/sdk/cards/card.coffee	followupCard	2082
Card#getPassesConditionsForCurrentFollowup	app/sdk/cards/card.coffee		2090
Card#setParentCard	app/sdk/cards/card.coffee	parentCard	2110
Card#getParentCardIndex	app/sdk/cards/card.coffee		2113
Card#getParentCard	app/sdk/cards/card.coffee		2116
Card#addSubCard	app/sdk/cards/card.coffee	card	2122
Card#getSubCardIndices	app/sdk/cards/card.coffee		2131
Card#getSubCards	app/sdk/cards/card.coffee	recursive	2134
Card#getRootCard	app/sdk/cards/card.coffee		2142
Card#getAncestorCardOfType	app/sdk/cards/card.coffee	cardType	2153
Card#getIsActionForCurrentFollowup	app/sdk/cards/card.coffee	action	2159
Card#getActionStateRecord	app/sdk/cards/card.coffee		2172
Card#setupActionStateRecord	app/sdk/cards/card.coffee		2177
Card#pauseOrResumeActionStateRecordByLocation	app/sdk/cards/card.coffee		2193
Card#stopActionStateRecord	app/sdk/cards/card.coffee		2204
Card#terminateActionStateRecord	app/sdk/cards/card.coffee		2209
Card#actionPropertiesForActionStateRecord	app/sdk/cards/card.coffee		2215
Card#resolvePropertiesForActionStateRecord	app/sdk/cards/card.coffee		2225
Card#getIsListeningToEvents	app/sdk/cards/card.coffee		2239
Card#startListeningToEvents	app/sdk/cards/card.coffee		2242
Card#stopListeningToEvents	app/sdk/cards/card.coffee		2255
Card#deserialize	app/sdk/cards/card.coffee	data	2269
Card#postDeserialize	app/sdk/cards/card.coffee		2272
Card#isScrubbable	app/sdk/cards/card.coffee	scrubFromPerspectiveOfPlayerId, forSpectator	2294
Card#setHideAsCardId	app/sdk/cards/card.coffee	cardId	2317
Card#getHideAsCardId	app/sdk/cards/card.coffee		2325
Card#isHideable	app/sdk/cards/card.coffee	scrubFromPerspectiveOfPlayerId, forSpectator	2333
Card#createCardToHideAs	app/sdk/cards/card.coffee		2341
Card#onCreatedToHide	app/sdk/cards/card.coffee	source	2365
Card#setReferencedCardData	app/sdk/cards/card.coffee	cardData	2368
Card#getReferencedCardData	app/sdk/cards/card.coffee		2371
CardFactory.cardForIdentifier	app/sdk/cards/cardFactory.coffee	cardId,gameSession	98
CardFactory.getAllCards	app/sdk/cards/cardFactory.coffee	gameSession, factionId, cardType, includeHidden=true, includeGenerals=true	223
CardLore.loreForIdentifier	app/sdk/cards/cardLore.coffee	identifier	8
CardLore.getAllLore	app/sdk/cards/cardLore.coffee		11
CardSetFactory.cardSetForIdentifier	app/sdk/cards/cardSetFactory.coffee	identifier	10
CardSetFactory.cardSetForDevName	app/sdk/cards/cardSetFactory.coffee	devName	13
CardType.getIsEntityCardType	app/sdk/cards/cardType.coffee	cardType	10
CardType.getIsUnitCardType	app/sdk/cards/cardType.coffee	cardType	13
CardType.getIsTileCardType	app/sdk/cards/cardType.coffee	cardType	16
CardType.getIsSpellCardType	app/sdk/cards/cardType.coffee	cardType	19
CardType.getIsArtifactCardType	app/sdk/cards/cardType.coffee	cardType	22
CardType.getAreCardTypesEqual	app/sdk/cards/cardType.coffee	cardTypeA, cardTypeB	25
CardType.getNameForCardType	app/sdk/cards/cardType.coffee	cardType	33
Deck#constructor	app/sdk/cards/deck.coffee	gameSession, ownerId	20
Deck#getPrivateDefaults	app/sdk/cards/deck.coffee	gameSession	30
Deck#setOwnerId	app/sdk/cards/deck.coffee	val	40
Deck#getOwnerId	app/sdk/cards/deck.coffee		43
Deck#getOwner	app/sdk/cards/deck.coffee		46
Deck#setDrawPile	app/sdk/cards/deck.coffee	val	49
Deck#getDrawPile	app/sdk/cards/deck.coffee		56
Deck#getDrawPileExcludingMissing	app/sdk/cards/deck.coffee		63
Deck#getCardsInDrawPile	app/sdk/cards/deck.coffee		74
Deck#getCardsInDrawPileExcludingMissing	app/sdk/cards/deck.coffee		82
Deck#getNumCardsInDrawPile	app/sdk/cards/deck.coffee		92
Deck#flushCachedCards	app/sdk/cards/deck.coffee		95
Deck#getHand	app/sdk/cards/deck.coffee		105
Deck#getHandExcludingMissing	app/sdk/cards/deck.coffee		113
Deck#getCardsInHand	app/sdk/cards/deck.coffee		125
Deck#getCardsInHandExcludingMissing	app/sdk/cards/deck.coffee		134
Deck#flushCachedCardsInHand	app/sdk/cards/deck.coffee		144
Deck#getCardIndexInHandAtIndex	app/sdk/cards/deck.coffee	i	154
Deck#getCardInHandAtIndex	app/sdk/cards/deck.coffee	i	162
Deck#getFirstEmptySpaceInHand	app/sdk/cards/deck.coffee		169
Deck#getNumCardsInHand	app/sdk/cards/deck.coffee		178
Deck#actionDrawCard	app/sdk/cards/deck.coffee	optionalCardIndex=null	189
Deck#actionsDrawCardsToRefillHand	app/sdk/cards/deck.coffee		196
Deck#actionsDrawNewCards	app/sdk/cards/deck.coffee		205
Deck#actionPutCardInDeck	app/sdk/cards/deck.coffee	cardDataOrIndex	232
Deck#putCardIndexIntoDeck	app/sdk/cards/deck.coffee	cardIndex	247
Deck#putCardIndexInHand	app/sdk/cards/deck.coffee	cardIndex	257
Deck#putCardIndexInHandAtIndex	app/sdk/cards/deck.coffee	cardIndex, indexOfCard	277
Deck#removeCardIndexFromDeck	app/sdk/cards/deck.coffee	cardIndex	291
Deck#removeCardIndexFromHand	app/sdk/cards/deck.coffee	cardIndex	310
Deck#setNumCardsReplacedThisTurn	app/sdk/cards/deck.coffee	numCardsReplacedThisTurn	328
Deck#getNumCardsReplacedThisTurn	app/sdk/cards/deck.coffee		331
Deck#getCanReplaceCardThisTurn	app/sdk/cards/deck.coffee		334
Deck#deserialize	app/sdk/cards/deck.coffee	data	349
FactionFactory.factionForPlayer1	app/sdk/cards/factionFactory.coffee	gameSession	15
FactionFactory.factionForPlayer2	app/sdk/cards/factionFactory.coffee	gameSession	18
FactionFactory.factionForMyPlayer	app/sdk/cards/factionFactory.coffee	gameSession	21
FactionFactory.factionForOpponentPlayer	app/sdk/cards/factionFactory.coffee	gameSession	24
FactionFactory.factionForPlayer	app/sdk/cards/factionFactory.coffee	gameSession, player	27
FactionFactory.factionForPlayerId	app/sdk/cards/factionFactory.coffee	gameSession, playerId	30
FactionFactory.factionForIdentifier	app/sdk/cards/factionFactory.coffee	identifier	35
FactionFactory.getAllFactions	app/sdk/cards/factionFactory.coffee		44
FactionFactory.getAllPlayableFactions	app/sdk/cards/factionFactory.coffee		55
FactionFactory.getAllEnabledFactions	app/sdk/cards/factionFactory.coffee		66
FactionFactory.starterDeckForFactionLevel	app/sdk/cards/factionFactory.coffee	factionId,factionLevel=0	76
FactionFactory.cardIdIsGeneral	app/sdk/cards/factionFactory.coffee	cardId	87
FactionFactory.unlockedCardIsValidForStarterDeck	app/sdk/cards/factionFactory.coffee	cardId	90
FactionFactory.generalIdForFactionByOrder	app/sdk/cards/factionFactory.coffee	factionId, order	101
FactionFactory.generalOrderForFactionById	app/sdk/cards/factionFactory.coffee	factionId, generalId	104
FactionFactory.factionForGeneralId	app/sdk/cards/factionFactory.coffee	generalId	108
FactionFactory.generalIdsForFaction	app/sdk/cards/factionFactory.coffee	factionId	116
FactionFactory.factionIdForGeneralId	app/sdk/cards/factionFactory.coffee	generalId	119
FactionFactory.getCrestResourceForFactionId	app/sdk/cards/factionFactory.coffee	factionId	122
FactionFactory.getCrestShadowResourceForFactionId	app/sdk/cards/factionFactory.coffee	factionId	126
FactionFactory.getCrestDeckSelectResourceForFactionId	app/sdk/cards/factionFactory.coffee	factionId	130
FactionFactory.getTauntCallout	app/sdk/cards/factionFactory.coffee	myGeneralId, opponentGeneralId	134
FactionFactory.getTauntResponse	app/sdk/cards/factionFactory.coffee	myGeneralId, opponentGeneralId	168
CardFactory_BloodstormSet_Faction1.cardForIdentifier	app/sdk/cards/factory/bloodstorm/faction1.coffee	identifier,gameSession	53
CardFactory_BloodstormSet_Faction2.cardForIdentifier	app/sdk/cards/factory/bloodstorm/faction2.coffee	identifier,gameSession	48
CardFactory_BloodstormSet_Faction3.cardForIdentifier	app/sdk/cards/factory/bloodstorm/faction3.coffee	identifier,gameSession	50
CardFactory_BloodstormSet_Faction4.cardForIdentifier	app/sdk/cards/factory/bloodstorm/faction4.coffee	identifier,gameSession	52
CardFactory_BloodstormSet_Faction5.cardForIdentifier	app/sdk/cards/factory/bloodstorm/faction5.coffee	identifier,gameSession	48
CardFactory_BloodstormSet_Faction6.cardForIdentifier	app/sdk/cards/factory/bloodstorm/faction6.coffee	identifier,gameSession	47
CardFactory_BloodstormSet_Neutral.cardForIdentifier	app/sdk/cards/factory/bloodstorm/neutral.coffee	identifier,gameSession	43
CardFactory_CoreSet_Faction1.cardForIdentifier	app/sdk/cards/factory/core/faction1.coffee	identifier,gameSession	78
CardFactory_CoreSet_Faction2.cardForIdentifier	app/sdk/cards/factory/core/faction2.coffee	identifier,gameSession	84
CardFactory_CoreSet_Faction3.cardForIdentifier	app/sdk/cards/factory/core/faction3.coffee	identifier,gameSession	79
CardFactory_CoreSet_Faction4.cardForIdentifier	app/sdk/cards/factory/core/faction4.coffee	identifier,gameSession	85
CardFactory_CoreSet_Faction5.cardForIdentifier	app/sdk/cards/factory/core/faction5.coffee	identifier,gameSession	84
CardFactory_CoreSet_Faction6.cardForIdentifier	app/sdk/cards/factory/core/faction6.coffee	identifier,gameSession	86
CardFactory_CoreSet_Neutral.cardForIdentifier	app/sdk/cards/factory/core/neutral.coffee	identifier,gameSession	109
CardFactory_CoreshatterSet_Faction1.cardForIdentifier	app/sdk/cards/factory/coreshatter/faction1.coffee	identifier,gameSession	68
CardFactory_CoreshatterSet_Faction2.cardForIdentifier	app/sdk/cards/factory/coreshatter/faction2.coffee	identifier,gameSession	75
CardFactory_CoreshatterSet_Faction3.cardForIdentifier	app/sdk/cards/factory/coreshatter/faction3.coffee	identifier,gameSession	72
CardFactory_CoreshatterSet_Faction4.cardForIdentifier	app/sdk/cards/factory/coreshatter/faction4.coffee	identifier,gameSession	71
CardFactory_CoreshatterSet_Faction5.cardForIdentifier	app/sdk/cards/factory/coreshatter/faction5.coffee	identifier,gameSession	69
CardFactory_CoreshatterSet_Faction6.cardForIdentifier	app/sdk/cards/factory/coreshatter/faction6.coffee	identifier,gameSession	80
CardFactory_CoreshatterSet_Neutral.cardForIdentifier	app/sdk/cards/factory/coreshatter/neutral.coffee	identifier,gameSession	73
CardFactory_FirstWatchSet_Faction1.cardForIdentifier	app/sdk/cards/factory/firstwatch/faction1.coffee	identifier,gameSession	55
CardFactory_FirstWatchSet_Faction2.cardForIdentifier	app/sdk/cards/factory/firstwatch/faction2.coffee	identifier,gameSession	61
CardFactory_FirstWatchSet_Faction3.cardForIdentifier	app/sdk/cards/factory/firstwatch/faction3.coffee	identifier,gameSession	61
CardFactory_FirstWatchSet_Faction4.cardForIdentifier	app/sdk/cards/factory/firstwatch/faction4.coffee	identifier,gameSession	62
CardFactory_FirstWatchSet_Faction5.cardForIdentifier	app/sdk/cards/factory/firstwatch/faction5.coffee	identifier,gameSession	64
CardFactory_FirstWatchSet_Faction6.cardForIdentifier	app/sdk/cards/factory/firstwatch/faction6.coffee	identifier,gameSession	63
CardFactory_FirstWatchSet_Neutral.cardForIdentifier	app/sdk/cards/factory/firstwatch/neutral.coffee	identifier,gameSession	66
CardFactory_Bosses.cardForIdentifier	app/sdk/cards/factory/misc/bosses.coffee	identifier,gameSession	148
CardFactory_Gauntlet_Specials.cardForIdentifier	app/sdk/cards/factory/misc/gauntlet_specials.coffee	identifier,gameSession	36
CardFactory_Generic.cardForIdentifier	app/sdk/cards/factory/misc/generic.coffee	identifier,gameSession	74
CardFactory_Tiles.cardForIdentifier	app/sdk/cards/factory/misc/tiles.coffee	identifier,gameSession	45
CardFactory_Tutorial.cardForIdentifier	app/sdk/cards/factory/misc/tutorial.coffee	identifier,gameSession	45
CardFactory_Monthly_M10_GeneralDamage.cardForIdentifier	app/sdk/cards/factory/monthly/m10_general_damage.coffee	identifier,gameSession	42
CardFactory_Monthly_M11_PennyArcade.cardForIdentifier	app/sdk/cards/factory/monthly/m11_penny_arcade.coffee	identifier,gameSession	47
CardFactory_Monthly_M12_OctoberMonthlies.cardForIdentifier	app/sdk/cards/factory/monthly/m12_october_monthlies.coffee	identifier,gameSession	43
CardFactory_Monthly_M13_NovemberMonthlies.cardForIdentifier	app/sdk/cards/factory/monthly/m13_november_monthlies.coffee	identifier,gameSession	40
CardFactory_Monthly_M1_Movement.cardForIdentifier	app/sdk/cards/factory/monthly/m1_movement.coffee	identifier,gameSession	44
CardFactory_Monthly_M2_Reactive.cardForIdentifier	app/sdk/cards/factory/monthly/m2_reactive.coffee	identifier,gameSession	43
CardFactory_Monthly_M3_OpeningGambitBuff.cardForIdentifier	app/sdk/cards/factory/monthly/m3_opening_gambit_buff.coffee	identifier,gameSession	42
CardFactory_Monthly_M4_Replace.cardForIdentifier	app/sdk/cards/factory/monthly/m4_replace.coffee	identifier,gameSession	41
CardFactory_Monthly_M5_Provoke.cardForIdentifier	app/sdk/cards/factory/monthly/m5_provoke.coffee	identifier,gameSession	43
CardFactory_Monthly_M6_Forcefield.cardForIdentifier	app/sdk/cards/factory/monthly/m6_forcefield.coffee	identifier,gameSession	39
CardFactory_Monthly_M7_Warmasters.cardForIdentifier	app/sdk/cards/factory/monthly/m7_warmasters.coffee	identifier,gameSession	42
