class_name	parent_class	file	methods
MovementRange	Range	app/sdk/entities/movementRange.coffee	
_MoveNode		app/sdk/entities/movementRange.coffee	constructor
Range		app/sdk/entities/range.coffee	constructor;getGameSession;flushCachedState;getValidPositions;getIsPositionValid;getValidPosition;getIsPositionInPatternMap;getPatternByDistance;getPatternMapByDistance;getPatternMapFromPattern;_generateAndCachePatternAndMap
Tile	Entity	app/sdk/entities/tile.coffee	getPrivateDefaults;getCanBeAppliedAnywhere;silence;setOccupant;getOccupant;getOccupantChangingAction;setDepleted;getDepleted;getDieOnDepleted;getObstructsOtherTiles
Unit	Entity	app/sdk/entities/unit.coffee	onApplyToBoard;onApplyModifiersForApplyToNewLocation
GameFormat		app/sdk/gameFormat.coffee	isLegacyFormat
GameSession		app/sdk/gameSession.coffee	create;getInstance;current;reset;getCardCaches;getGroupKey;getGroupKeys;getGroupKey;getGroupKeys;getGroupKey;getGroupKeys;getGroupKey;getGroupKeys;getGroupKey;getGroupKeys;getGroupKey;getGroupKeys;getGroupKey;getGroupKeys;getGroupKey;getGroupKeys;getGroupKey;getGroupKeys;getGroupKey;getGroupKeys;getGroupKey;getGroupKeys;getGroupKey;getGroupKeys;getGroupKey;getGroupKeys;_buildCachesIfNeeded;getCards;getCardById;getCardIds;getCardsData
_GameSession	SDKObject	app/sdk/gameSession.coffee	constructor;getPrivateDefaults;terminate;generateIndex;getGameId;getGameSetupData;getPlayer1SetupData;getPlayer2SetupData;getMyPlayerSetupData;getOpponentPlayerSetupData;getPlayerSetupDataForPlayerId;setValidators;getValidators;getValidatorFollowup;getBoard;getBattleMapTemplate;setBattleMapTemplate;getTurnTimeRemaining;setTurnTimeRemaining;getEventBus;pushEvent;_pushEventToSession;pushEventTypeToStack;popEventTypeFromStack;getCurrentEventType;pushBufferableEvent;getIsBufferingEvents;p_startBufferingEvents;p_stopBufferingEvents;actionStopBufferingEvents;getIsFollowupActive;getIsMyFollowupActive;getIsMyFollowupActiveAndCancellable;_startFollowup;actionRollbackSnapshot;syncState;p_requestRollbackToSnapshot;p_requestRollbackSnapshotDiscard;generateGameSessionSnapshot;getRollbackSnapshotData;_rollbackToSnapshot;_discardRollbackSnapshot;setIsRunningAsAuthoritative;getIsRunningAsAuthoritative;getIsRunningOnClient;getStatus;setStatus;isNew;isActive;isOver;setGameType;getGameType;setGameFormat;getGameFormat;isRanked;isRift;isCasual;isGauntlet;isFriendly;isSandbox;isChallenge;isDailyChallenge;isSinglePlayer;isBossBattle;isTutorial;getAreDecksRandomized;getChallenge;setChallenge;setAiDifficulty;getAiDifficulty;p_requestGameOver;_validateGameOverRequest;getPlayerId;setUserId;getUserId;isMyTurn;isMyTurnEnding;getPlayers;getPlayerById;getMyPlayerId;getMyPlayer;setAiPlayerId;getAiPlayerId;getOpponentPlayerId;getOpponentPlayer;getOpponentPlayerIdOfPlayerId;getOpponentPlayerOfPlayerId;getCurrentPlayer;getCurrentPlayerId;getNonCurrentPlayer;getNonCurrentPlayerId;getPlayer1;getPlayer1Id;getPlayer2;getPlayer2Id;getGeneralForPlayerId;getGeneralForPlayer;getGeneralForOpponentOfPlayerId;getGeneralForPlayer1;getGeneralForPlayer2;getGeneralForMyPlayer;getGeneralForOpponentPlayer;flushCachedGeneralsByPlayerId;flushCachedGeneralForPlayerId;flushCachedGeneralForPlayer;setEntityAsNewGeneral;setEntityAsNotGeneral;getEventReceivingCards;flushAllCachedCards;flushCachedEventReceivingCards;addEventReceivingCardOnBoard;removeEventReceivingCardOnBoard;moveEventReceivingCardToFront;getEventReceivingCardsOnBoard;getWinner;getWinnerId;getLoser;getLoserId;willSwapCurrentPlayerNextTurn;skipSwapCurrentPlayerNextTurn;getIsDeveloperMode;setIsDeveloperMode;setIsSpectateMode;getIsSpectateMode;setIsReplay;getIsReplay;setIsSignatureCardAlwaysReady;getIsSignatureCardAlwaysReady;getIsSignatureCardAlwaysReadyForPlayer;getTurns;getCurrentTurn;actionEndTurn;p_endTurn;p_startTurn;getNumberOfTurns;_getNumberOfTurnsUntilPlayerActivatesSignatureCard;getProgressUntilPlayerActivatesSignatureCard;submitExplicitAction;getIsWaitingForSubmittedExplicitAction;executeAuthoritativeStep;executeAction;_queueStep;_startNextStep;_startStep;_executeStepQueue;_executeActionForStep;_resetActionQueue;_executeActionWithForcedParentAction;_getIsActionQueueEmpty;validateAction;_updateStateAfterActionValidated;onAuthoritativeInvalidAction;onInvalidAction;p_resolveStep;_endStep;hasStepsInQueue;hasActionsInQueue;getActionsOfClassInQueue;getRemovalActionsInQueue;getCanCardBeScheduledForRemoval;wasActionExecutedDuringTurn;getExecutingAction;setExecutingAction;getExecutingNonDepthFirstAction;setExecutingNonDepthFirstAction;getExecutingResolveAction;setExecutingResolveAction;getExecutingParentAction;setExecutingParentAction;getActionExecutionEventType;setActionExecutionEventType;getActionExecutionEventTypeStack;getActionByIndex;getActions;filterActions;findAction;getActionsByIndices;getExecutingStep;getStepByIndex;getSteps;getStepCount;getStepsByIndices;getExecutingRootAction;getLastStep;getGameEndingStep;getRandomIntegerForExecution;createActionForType;createCardForIdentifier;getExistingCardFromIndexOrCachedCardFromData;getExistingCardFromIndexOrCreateCardFromData;_indexCardAsNeeded;_injectSkinAndPrismaticPropertiesIntoCard;getCardFactory;getCardCaches;createModifierForType;getModifierClassForType;getModifierFactory;getOrCreateModifierFromContextObjectOrIndex;getOrCreateModifierFromContextObjectOrIndexAndApplyContextObject;_indexModifierAsNeeded;_removeCardFromCurrentLocation;applyCardToDeck;removeCardByIndexFromDeck;applyCardToHand;removeCardByIndexFromHand;applyCardToSignatureCards;removeCardFromSignatureCards;applyCardToBoard;removeCardFromBoard;getActiveCard;pushCardToStack;popCardFromStack;getCards;getCardByIndex;getCardsByIndices;getCardsPlayed;getUnitsPlayed;getArtifactsPlayed;getSpellsPlayed;getDeadUnits;applyModifierContextObject;p_applyModifier;removeModifier;p_removeModifier;moveModifierToCard;removeModifierFromCardByType;removeModifierFromCardByStackType;removeModifierFromCardByClass;getModifierByIndex;getModifiersByIndices;pushTriggeringModifierOntoStack;popTriggeringModifierFromStack;getTriggeringModifier;getPlayerModifiers;serializeToJSON;deserializeSessionFromFirebase;deserializeCardFromFirebase;deserializeTurnFromFirebase;deserializeStepFromFirebase;deserializeActionFromFirebase;deserializeModifierFromFirebase
GameSessionModifier	PlayerModifier	app/sdk/gameSessionModifiers/gameSessionModifier.coffee	
GameSessionModifierFestiveSpirit	GameSessionModifier	app/sdk/gameSessionModifiers/gameSessionModifierFestiveSpirit.coffee	getPrivateDefaults;onActivate;spawnFrostfireChest;onStartTurn;onAction
GameStatus		app/sdk/gameStatus.coffee	
GameTurn	SDKObject	app/sdk/gameTurn.coffee	constructor;setPlayerId;getPlayerId;getSteps;addStep;setEnded;getEnded;deserialize
GameType		app/sdk/gameType.coffee	isNetworkGameType;isMultiplayerGameType;isSinglePlayerGameType;isLocalGameType;isCompetitiveGameType;isFactionXPGameType;getGameFormatForGameType
GiftCrateFactory		app/sdk/giftCrates/giftCrateFactory.coffee	_generateCache;getIsCrateTypeAvailable;giftCrateTemplateForType
GiftCrateLookup		app/sdk/giftCrates/giftCrateLookup.coffee	
FXType		app/sdk/helpers/fxType.coffee	
IntentType		app/sdk/intentType.coffee	getIsAggroIntentType;getIsAssistIntentType
Modifier	SDKObject	app/sdk/modifiers/modifier.coffee	constructor;getPrivateDefaults;createContextObject;createContextObjectOnBoard;createContextObjectInDeckHand;createAttributeBuffsObject;createContextObjectWithAttributeBuffs;createContextObjectWithAbsoluteAttributeBuffs;createContextObjectWithRebasedAttributeBuffs;createContextObjectWithAura;createContextObjectWithAuraForNearbyAllies;createContextObjectWithAuraForAllAllies;createContextObjectWithAuraForAllAlliesAndSelf;createContextObjectWithOnBoardAuraForAllAlliesAndSelf;createContextObjectWithAuraForAllAlliesAndSelfAndGeneral;createContextObjectWithOnBoardAuraForAllAlliesAndSelfAndGeneral;createContextObjectWithAuraForNearbyEnemies;createContextObjectWithOnBoardAuraForNearbyEnemies;createContextObjectWithAuraForAllEnemies;createContextObjectWithOnBoardAuraForAllEnemies;onEvent;onApplyToCard;onApplyToCardBeforeSyncState;onRemoveFromCard;onRemoveFromCardBeforeSyncState;onMoveToCard;onActivate;onDeactivate;onChangeOwner;getCard;setCard;getCardAffectedIndex;getCardAffected;getIsKeyworded;getIsKeyworded;getLogName;getIndex;setIndex;getOwner;getOwnerId;setModifiersContextObjects;getModifiersContextObjects;getModifiersToCoordinateWith;createNewContextObject;getContextObjectKeysForCopy;createContextObject;updateContextObjectPostApply;getContextObjectKeysToDeleteForClone;createContextObjectForClone;applyContextObject;getIsInherent;getIsAdditionalInherent;getIsHiddenToUI;getIsRemovable;getType;getIsRemoved;setIsRemoved;setNumEndTurnsElapsed;setNumStartTurnsElapsed;getName;getDescription;getName;getName;getIsActive;getDescription;getDescription;getAppliedName;getAppliedName;getAppliedDescription;getAppliedDescription;getKeywordDefinition;getAnimResource;getSoundResource;setFXResource;getFXResource;getCardFXResource;getNumOfType;getStacks;getMaxStacks;getIsStacking;_getNumStacksPreceding;getStackType;getArtifactStackType;syncState;updateCachedState;updateCachedStateBeforeActive;updateCachedStateAfterActive;getIsStackingForCache;getIsActiveForCache;getIsAllowedToBeActiveForCache;getAreSubModifiersActiveForCache;getIsInHandAndActiveForCache;getIsInDeckAndActiveForCache;getIsInSignatureCardsAndActiveForCache;getIsOnBoardAndActiveForCache;flushAllCachedData;flushCachedNamesAndDescriptions;setSourceCardIndex;getSourceCardIndex;getSourceCard;setParentModifier;getParentModifier;getParentModifierIndex;setAppliedByModifier;getAppliedByModifier;getAppliedByModifierIndex;setRemovedByModifier;getRemovedByModifier;getRemovedByModifierIndex;addSubModifier;removeSubModifier;removeFromParentModifier;getSubModifierIndices;getSubModifiers;setIsCloneable;getIsCloneable;belongsToKeywordClass;setAppliedByAction;getAppliedByActionIndex;getAppliedByAction;setRemovedByAction;getRemovedByActionIndex;getRemovedByAction;onTriggeredAction;onTriggerChangedAction;onTriggerAppliedModifier;onTriggerActivatedModifier;onTriggerDeactivatedModifier;onTriggerRemovedModifier;_setTriggeredByAction;getTriggeredByAction;getTriggeredByResolveAction;getTriggeredByActionsData;getTriggerActionIndicesForActionIndex;getTriggerActionsData;getTriggerActionsForAction;getTriggerActionIndicesForResolveActionIndex;getTriggerActionsForResolveAction;getTriggerActionIndicesForActionAndResolveActionIndices;getTriggerActionsForActionAndResolveActionIndices;getTriggerActionsForActionAndResolveAction;getTriggerAppliedModifierIndicesForAction;getTriggerAppliedModifiersData;getTriggerAppliedModifiersForAction;getTriggerAppliedModifierIndicesForResolveAction;getTriggerAppliedModifiersForResolveAction;getTriggerAppliedModifierIndicesForActionAndResolveAction;getTriggerAppliedModifiersForActionAndResolveAction;getTriggerActivatedModifierIndicesForAction;getTriggerActivatedModifiersData;getTriggerActivatedModifiersForAction;getTriggerActivatedModifierIndicesForResolveAction;getTriggerActivatedModifiersForResolveAction;getTriggerActivatedModifierIndicesForActionAndResolveAction;getTriggerActivatedModifiersForActionAndResolveAction;getTriggerRemovedModifierIndicesForAction;getTriggerRemovedModifiersData;getTriggerRemovedModifiersForAction;getTriggerRemovedModifierIndicesForResolveAction;getTriggerRemovedModifiersForResolveAction;getTriggerRemovedModifierIndicesForActionAndResolveAction;getTriggerRemovedModifiersForActionAndResolveAction;getTriggerDeactivatedModifierIndicesForAction;getTriggerDeactivatedModifiersData;getTriggerDeactivatedModifiersForAction;getTriggerDeactivatedModifierIndicesForResolveAction;getTriggerDeactivatedModifiersForResolveAction;getTriggerDeactivatedModifierIndicesForActionAndResolveAction;getTriggerDeactivatedModifiersForActionAndResolveAction;getIsAncestorForAction;getCanReactToAction;applyManagedModifiersFromModifiersContextObjects;applyManagedModifiersFromModifiersContextObjectsOnce;removeManagedModifiersFromCards;removeManagedModifiersFromCard;getBuffedAttribute;getAttributeBuffs;getBuffsAttribute;getBuffsAttributes;getRebasesAttribute;getRebasesAttributes;getBuffsAttributeAbsolutely;getBuffsAttributesAbsolutely;getIsAttributeFixed;getAreAttributesFixed;setResetsDamage;getResetsDamage;getCanConvertCardToPrismatic;getCanConvertCardToSkinned;getIsFromArtifact;setDurability;getDurability;setMaxDurability;getMaxDurability;applyDamage;getIsDestroyed;_removeAura;_refreshAuraCardsAsNeeded;_addAuraToCards;_removeAuraFromCardsLeaving;_findNewCardsInAura;_findPotentialCardsInAura;_filterPotentialCardInAura;getEntitiesInAura;getIsAura;setAuraModifierId;getAuraModifierId;getIsManagedByAura;getIsListeningToEvents;startListeningToEvents;stopListeningToEvents;_onTerminate;_onModifyActionForValidation;_onValidateAction;_onModifyActionForExecution;_onBeforeAction;_onAction;_onAfterAction;_onAfterCleanupAction;_onEndTurnDurationChange;_onStartTurnDurationChange;_getModifierDurationChangeInCaseOfBonusTurn;_onActiveChange;_onRemoveAura;_onAddAura;_onStartTurn;_onEndTurn;onModifyActionForValidation;onValidateAction;invalidateAction;onModifyActionForExecution;onBeforeAction;onAction;onAfterAction;onAfterCleanupAction;onEndTurnDurationChange;onStartTurnDurationChange;onExpire;onStartTurn;onEndTurn;deserialize;postDeserialize;setTransformModifierTypeForScrubbing;getTransformModifierTypeForScrubbing;isHideable;createModifierToHideAs;onCreatedToHide
ModifierATKThresholdDie	Modifier	app/sdk/modifiers/modifierATKThresholdDie.coffee	createContextObject;getDescription;onAction;onATKChange
ModifierAbsorbDamage	Modifier	app/sdk/modifiers/modifierAbsorbDamage.coffee	onEvent;createContextObject;getDescription;onStartTurn;getIsActionRelevant;_modifyAction;onModifyActionForExecution;onModifyActionForEntitiesInvolvedInAttack
ModifierAbsorbDamageGolems	Modifier	app/sdk/modifiers/modifierAbsorbDamageGolems.coffee	onEvent;getIsActionRelevant;_modifyAction;onModifyActionForExecution;onModifyActionForEntitiesInvolvedInAttack
ModifierAirdrop	Modifier	app/sdk/modifiers/modifierAirdrop.coffee	
ModifierAlwaysBackstabbed	Modifier	app/sdk/modifiers/modifierAlwaysBackstabbed.coffee	onEvent;getIsActionRelevant;_modifyAction;onModifyActionForExecution;onModifyActionForEntitiesInvolvedInAttack
ModifierAlwaysInfiltrated	Modifier	app/sdk/modifiers/modifierAlwaysInfiltrated.coffee	
ModifierAntiMagicField	Modifier	app/sdk/modifiers/modifierAntiMagicField.coffee	onValidateAction;onModifyActionForExecution
ModifierAnyDrawCardWatch	Modifier	app/sdk/modifiers/modifierAnyDrawCardWatch.coffee	onAction;onDrawCardWatch
ModifierAnyDrawCardWatchBuffSelf	ModifierAnyDrawCardWatch	app/sdk/modifiers/modifierAnyDrawCardWatchBuffSelf.coffee	createContextObject;getDescription;onDrawCardWatch
ModifierAnyMinionHealWatch	Modifier	app/sdk/modifiers/modifierAnyMinionHealWatch.coffee	onAfterCleanupAction;onHealWatch
ModifierAnySummonWatch	Modifier	app/sdk/modifiers/modifierAnySummonWatch.coffee	onAction;getIsActionRelevant;onSummonWatch;onActivate
ModifierAnySummonWatchFromActionBar	Modifier	app/sdk/modifiers/modifierAnySummonWatchFromActionBar.coffee	onAction;getIsActionRelevant;onSummonWatch;onActivate
ModifierAnySummonWatchFromActionBarApplyModifiersToSelf	ModifierAnySummonWatchFromActionBar	app/sdk/modifiers/modifierAnySummonWatchFromActionBarApplyModifiersToSelf.coffee	createContextObject;getDescription;onSummonWatch
ModifierAnySummonWatchGainGeneralKeywords	ModifierAnySummonWatch	app/sdk/modifiers/modifierAnySummonWatchGainGeneralKeywords.coffee	onSummonWatch
ModifierApplyMinionToBoardWatch	Modifier	app/sdk/modifiers/modifierApplyMinionToBoardWatch.coffee	onAction;onApplyToBoardWatch
ModifierApplyMinionToBoardWatchApplyModifiersToTarget	ModifierApplyMinionToBoardWatch	app/sdk/modifiers/modifierApplyMinionToBoardWatchApplyModifiersToTarget.coffee	createContextObject;getDescription;onApplyToBoardWatch
ModifierAttackEqualsHealth	Modifier	app/sdk/modifiers/modifierAttackEqualsHealth.coffee	constructor;getPrivateDefaults;getBuffedAttribute;getBuffsAttributes;getBuffsAttribute;updateCachedStateAfterActive
ModifierAttacksDamageAllEnemyMinions	Modifier	app/sdk/modifiers/modifierAttacksDamageAllEnemyMinions.coffee	onBeforeAction
ModifierAttacksDealNoDamage	Modifier	app/sdk/modifiers/modifierAttacksDealNoDamage.coffee	onEvent;getIsActionRelevant;_modifyAction;onModifyActionForExecution;onModifyActionForEntitiesInvolvedInAttack
ModifierAuraAboveAndBelow	Modifier	app/sdk/modifiers/modifierAuraAboveAndBelow.coffee	_findPotentialCardsInAura
ModifierBackstab	Modifier	app/sdk/modifiers/modifierBackstab.coffee	onEvent;createContextObject;getIsActionRelevant;_modifyAction;onModifyActionForExecution;onModifyActionForEntitiesInvolvedInAttack;getBackstabBonus
ModifierBackstabWatch	Modifier	app/sdk/modifiers/modifierBackstabWatch.coffee	createContextObject;getIsActionRelevant;onAction;onBackstabWatch
ModifierBackstabWatchAddCardToHand	ModifierBackstabWatch	app/sdk/modifiers/modifierBackstabWatchAddCardToHand.coffee	createContextObject;onBackstabWatch
ModifierBackstabWatchApplyModifiersToTarget	ModifierBackstabWatch	app/sdk/modifiers/modifierBackstabWatchApplyModifiersToTarget.coffee	createContextObject;onBackstabWatch
ModifierBackstabWatchApplyPlayerModifiers	ModifierBackstabWatch	app/sdk/modifiers/modifierBackstabWatchApplyPlayerModifiers.coffee	createContextObject;createContextObjectToTargetOwnPlayer;createContextObjectToTargetEnemyPlayer;onBackstabWatch
ModifierBackstabWatchStealSpellFromDeck	ModifierBackstabWatch	app/sdk/modifiers/modifierBackstabWatchStealSpellFromDeck.coffee	createContextObject;onBackstabWatch
ModifierBackstabWatchSummonBackstabMinion	ModifierBackstabWatch	app/sdk/modifiers/modifierBackstabWatchSummonBackstabMinion.coffee	createContextObject;onBackstabWatch
ModifierBackstabWatchTransformToBuilding	ModifierBackstabWatch	app/sdk/modifiers/modifierBackstabWatchTransformToBuilding.coffee	createContextObject;onBackstabWatch
ModifierBackupGeneral	Modifier	app/sdk/modifiers/modifierBackupGeneral.coffee	onEvent;_onValidateGameOver
ModifierBanded	Modifier	app/sdk/modifiers/modifierBanded.coffee	createContextObject
ModifierBandedDoubleAttack	ModifierBanded	app/sdk/modifiers/modifierBandedDoubleAttack.coffee	onEndTurn
ModifierBandedFlying	ModifierFlying	app/sdk/modifiers/modifierBandedFlying.coffee	
ModifierBandedHeal	ModifierBanded	app/sdk/modifiers/modifierBandedHeal.coffee	onEndTurn
ModifierBandedProvoke	ModifierProvoke	app/sdk/modifiers/modifierBandedProvoke.coffee	
ModifierBandedRanged	ModifierRanged	app/sdk/modifiers/modifierBandedRanged.coffee	
ModifierBanding	ModifierSituationalBuffSelf	app/sdk/modifiers/modifierBanding.coffee	getIsSituationActiveForCache
ModifierBandingApplyModifiers	ModifierBanding	app/sdk/modifiers/modifierBandingApplyModifiers.coffee	createContextObject
ModifierBandingAttack	ModifierBanding	app/sdk/modifiers/modifierBandingAttack.coffee	createContextObject
ModifierBandingAttackAndHealth	ModifierBanding	app/sdk/modifiers/modifierBandingAttackAndHealth.coffee	createContextObject;getDescription
ModifierBandingChangeCardDraw	ModifierBanding	app/sdk/modifiers/modifierBandingChangeCardDraw.coffee	createContextObject;getDescription;onChangeOwner
ModifierBandingDealDamageWatchDrawCard	ModifierBanding	app/sdk/modifiers/modifierBandingDealDamageWatchDrawCard.coffee	createContextObject;getDescription
ModifierBandingDoubleAttack	ModifierBanding	app/sdk/modifiers/modifierBandingDoubleAttack.coffee	createContextObject
ModifierBandingFlying	ModifierBanding	app/sdk/modifiers/modifierBandingFlying.coffee	createContextObject;getDescription
ModifierBandingHeal	ModifierBanding	app/sdk/modifiers/modifierBandingHeal.coffee	createContextObject
ModifierBandingHealSelfAndGeneral	ModifierBanding	app/sdk/modifiers/modifierBandingHealSelfAndGeneral.coffee	createContextObject;getDescription
ModifierBandingProvoke	ModifierBanding	app/sdk/modifiers/modifierBandingProvoke.coffee	createContextObject;getDescription
ModifierBandingRanged	ModifierBanding	app/sdk/modifiers/modifierBandingRanged.coffee	createContextObject;getDescription
ModifierBattlePet	Modifier	app/sdk/modifiers/modifierBattlePet.coffee	generateActions;findAttackableTargetsAroundPosition;getIsTargetAttackable;getBestTargetUnitsfromPosition;chooseAggressivePosition;onValidateAction
ModifierBeforeMyAttackWatch	Modifier	app/sdk/modifiers/modifierBeforeMyAttackWatch.coffee	onBeforeAction;onBeforeMyAttackWatch
ModifierBelongsToAllRaces	Modifier	app/sdk/modifiers/modifierBelongsToAllRaces.coffee	
ModifierBlastAttack	Modifier	app/sdk/modifiers/modifierBlastAttack.coffee	onEvent;onActivate;onDeactivate;getIsActionRelevant;getAttackableEntities;onBeforeAction;onEntitiesInvolvedInAttack;postDeserialize
ModifierBlastAttackStrong	ModifierBlastAttack	app/sdk/modifiers/modifierBlastAttackStrong.coffee	
ModifierBond	Modifier	app/sdk/modifiers/modifierBond.coffee	onActivate;onBond
ModifierBondApplyModifiers	ModifierBond	app/sdk/modifiers/modifierBondApplyModifiers.coffee	createContextObject;createContextObjectForAllUnitsAndGenerals;createContextObjectForAllies;createContextObjectForNearbyAllies;createContextObjectForAllAllies;createContextObjectForEnemies;createContextObjectForNearbyEnemies;createContextObjectForAllEnemies;createContextObjectForAllEnemyUnitsAndGenerals;onBond;getAffectedEntities
ModifierBondApplyModifiersByRaceId	ModifierBondAplyModifiers	app/sdk/modifiers/modifierBondApplyModifiersByRaceId.coffee	createContextObject;getAffectedEntities
ModifierBondDrawCards	ModifierBond	app/sdk/modifiers/modifierBondDrawCards.coffee	createContextObject;onBond
ModifierBondHealMyGeneral	ModifierBond	app/sdk/modifiers/modifierBondHealMyGeneral.coffee	createContextObject;onBond
ModifierBondNightshroud	ModifierBond	app/sdk/modifiers/modifierBondNightshroud.coffee	onBond
ModifierBondPutCardsInHand	ModifierBond	app/sdk/modifiers/modifierBondPutCardsInHand.coffee	createContextObject;onBond
ModifierBondSpawnEntity	ModifierBond	app/sdk/modifiers/modifierBondSpawnEntity.coffee	createContextObject;getDescription;onBond
ModifierBuffSelfOnReplace	Modifier	app/sdk/modifiers/modifierBuffSelfOnReplace.coffee	createContextObject;getDescription;onAction
ModifierBuild	Modifier	app/sdk/modifiers/modifierBuild.coffee	createContextObject;onModifyActionForExecution
ModifierBuildCompleteApplyModifiersToNearbyAllies	ModifierBuilding	app/sdk/modifiers/modifierBuildCompleteApplyModifiersToNearbyAllies.coffee	createContextObject;onBuildComplete
ModifierBuildCompleteGainTempMana	ModifierBuilding	app/sdk/modifiers/modifierBuildCompleteGainTempMana.coffee	createContextObject;onBuildComplete
ModifierBuildCompleteHealGeneral	ModifierBuilding	app/sdk/modifiers/modifierBuildCompleteHealGeneral.coffee	createContextObject;onBuildComplete
ModifierBuildCompleteReplicateAndSummonDervish	ModifierBuilding	app/sdk/modifiers/modifierBuildCompleteReplicateAndSummonDervish.coffee	onBuildComplete
ModifierBuildWatch	Modifier	app/sdk/modifiers/modifierBuildWatch.coffee	onAfterCleanupAction;getIsActionRelevant;onBuildWatch;getIsCardRelevantToWatcher
ModifierBuilding	ModifierStartTurnWatch	app/sdk/modifiers/modifierBuilding.coffee	createContextObject;getDescription;onApplyToCardBeforeSyncState;onActivate;onTurnWatch;progressBuild;onBuildComplete;transformSelf
ModifierBuildingSlowEnemies	ModifierBuilding	app/sdk/modifiers/modifierBuildingSlowEnemies.coffee	onActivate
ModifierCannot	Modifier	app/sdk/modifiers/modifierCannot.coffee	
ModifierCannotAttackGeneral	ModifierCannot	app/sdk/modifiers/modifierCannotAttackGeneral.coffee	onValidateAction
ModifierCannotBeRemovedFromHand	ModifierCannot	app/sdk/modifiers/modifierCannotBeRemovedFromHand.coffee	onValidateAction
ModifierCannotBeReplaced	ModifierCannot	app/sdk/modifiers/modifierCannotBeReplaced.coffee	onValidateAction
ModifierCannotCastBBS	ModifierCannot	app/sdk/modifiers/modifierCannotCastBBS.coffee	createContextObject;onValidateAction
ModifierCannotCastSpellsByCost	ModifierCannot	app/sdk/modifiers/modifierCannotCastSpellsByCost.coffee	createContextObject;onValidateAction
ModifierCannotDamageGenerals	ModifierCannot	app/sdk/modifiers/modifierCannotDamageGenerals.coffee	onEvent;getIsActionRelevant;_modifyAction;onModifyActionForExecution;onModifyActionForEntitiesInvolvedInAttack
ModifierCannotMove	ModifierCannot	app/sdk/modifiers/modifierCannotMove.coffee	
ModifierCannotStrikeback	ModifierCannot	app/sdk/modifiers/modifierCannotStrikeback.coffee	onEvent;getIsActionRelevant;_modifyAction;onModifyActionForExecution;onModifyActionForEntitiesInvolvedInAttack
ModifierCardControlledPlayerModifiers	Modifier	app/sdk/modifiers/modifierCardControlledPlayerModifiers.coffee	createContextObject;createContextObjectToTargetOwnPlayer;createContextObjectOnBoardToTargetOwnPlayer;createContextObjectInHandDeckToTargetOwnPlayer;createContextObjectToTargetEnemyPlayer;createContextObjectOnBoardToTargetEnemyPlayer;createContextObjectInHandDeckToTargetEnemyPlayer;createContextObjectOnBoardToTargetBothPlayers;createContextObjectInHandDeckToTargetBothPlayers;onActivate;onDeactivate
ModifierCollectable	Modifier	app/sdk/modifiers/modifierCollectable.coffee	getPrivateDefaults;getDepleted;getCollectingEntity;_onActiveChange;onCollect;onDepleted;postDeserialize
ModifierCollectableBonusMana	ModifierCollectable	app/sdk/modifiers/modifierCollectableBonusMana.coffee	onCollect
ModifierCollectableCard	ModifierCollectable	app/sdk/modifiers/modifierCollectableCard.coffee	createContextObject;onCollect
ModifierCostChangeIfMyGeneralDamagedLastTurn	ModifierMyGeneralDamagedWatch	app/sdk/modifiers/modifierCostChangeIfMyGeneralDamagedLastTurn.coffee	createContextObject;getDescription;onDamageDealtToGeneral
ModifierCostEqualGeneralHealth	Modifier	app/sdk/modifiers/modifierCostEqualGeneralHealth.coffee	constructor;getPrivateDefaults;getBuffedAttribute;getBuffsAttributes;getBuffsAttribute;updateCachedStateAfterActive
ModifierCounter	Modifier	app/sdk/modifiers/modifierCounter.coffee	getDescription;getPrivateDefaults;onDeactivate;updateCachedStateAfterActive;updateCountIfNeeded;_onRemoveAura;removeSubModifiers;_onAddAura;getModifierContextObjectToApply;getCurrentCount
ModifierCounterBuildProgress	ModifierCounter	app/sdk/modifiers/modifierCounterBuildProgress.coffee	createContextObject;getModifierContextObjectToApply;onAfterAction;getCurrentCount
ModifierCounterBuildProgressDescription	Modifier	app/sdk/modifiers/modifierCounterBuildProgressDescription.coffee	createContextObject;getDescription
ModifierCounterIntensify	ModifierCounter	app/sdk/modifiers/modifierCounterIntensify.coffee	onActivate;updateCountIfNeeded;getModifierContextObjectToApply;onAfterAction;getIsActionRelevant
ModifierCounterIntensifyDescription	Modifier	app/sdk/modifiers/modifierCounterIntensifyDescription.coffee	createContextObject;getDescription
ModifierCounterMechazorBuildProgress	ModifierCounter	app/sdk/modifiers/modifierCounterMechazorBuildProgress.coffee	createContextObject;getModifierContextObjectToApply;getCurrentCount
ModifierCounterMechazorBuildProgressDescription	Modifier	app/sdk/modifiers/modifierCounterMechazorBuildProgressDescription.coffee	createContextObject;getDescription
ModifierCounterShadowCreep	ModifierCounter	app/sdk/modifiers/modifierCounterShadowCreep.coffee	createContextObject;getModifierContextObjectToApply;getCurrentCount
ModifierCounterShadowCreepDescriptionProgressDescription	Modifier	app/sdk/modifiers/modifierCounterShadowCreepDescription.coffee	createContextObject;getDescription
ModifierCustomSpawn	Modifier	app/sdk/modifiers/modifierCustomSpawn.coffee	getCustomSpawnPositions
ModifierCustomSpawnOnOtherUnit	ModifierCustomSpawn	app/sdk/modifiers/modifierCustomSpawnOnOtherUnit.coffee	getCustomSpawnPositions
