id	name	cost	faction_id	rarity_id	spell_class	spell_filter_type	can_target_general	damage_amount	heal_amount	radius	target_modifiers	fx_resource	sprite_resource	sound_resource	description
Cards.Spell.AstralPhasing	cards.faction_3_spell_astral_phasing_name	3	Factions.Faction3	Rarity.Common	SpellApplyModifiers	SpellFilterType.AllyDirect						FX.Cards.Spell.AstralPhasing	idle:RSX.iconAstralPhasingIdle.name|active:RSX.iconAstralPhasingActive.name	apply:RSX.sfx_unit_run_magical_4.audio	cards.faction_3_spell_astral_phasing_description
Cards.Spell.AurorasTears	cards.faction_3_spell_auroras_tears_name	1	Factions.Faction3	Rarity.Epic	SpellAurorasTears	SpellFilterType.NeutralIndirect						FX.Cards.Spell.AurorasTears	idle:RSX.iconAurorasTearIdle.name|active:RSX.iconAurorasTearActive.name	apply:RSX.sfx_neutral_spelljammer_attack_swing.audio	cards.faction_3_spell_auroras_tears_description
Cards.Spell.EntropicDecay	cards.faction_3_spell_entropic_decay_name	4	Factions.Faction3	Rarity.Fixed	SpellKillTarget	SpellFilterType.EnemyDirect						FX.Cards.Spell.EntropicDecay	idle:RSX.iconEntropicDecayIdle.name|active:RSX.iconEntropicDecayActive.name	apply:RSX.sfx_spell_entropicdecay.audio	cards.faction_3_spell_entropic_decay_description
Cards.Spell.Maelstrom	cards.faction_3_spell_time_maelstrom_name	3	Factions.Faction3	Rarity.Legendary	SpellTimeMaelstrom					CONFIG.WHOLE_BOARD_RADIUS		FX.Spell.FireTornado|FX.Cards.Spell.Maelstrom	idle:RSX.iconMaelstromIdle.name|active:RSX.iconMaelstromActive.name	apply:RSX.sfx_spell_manavortex.audio	cards.faction_3_spell_time_maelstrom_description
Cards.Spell.DrainMorale	cards.faction_3_spell_sand_trap_name	2	Factions.Faction3	Rarity.Common	SpellApplyModifiers	SpellFilterType.EnemyDirect						FX.Cards.Spell.SandTrap	idle:RSX.iconSandTrapIdle.name|active:RSX.iconSandTrapActive.name	apply:RSX.sfx_spell_drainmorale.audio	cards.faction_3_spell_sand_trap_description
Cards.Spell.ScionsFirstWish	cards.faction_3_spell_scions_first_wish_name	1	Factions.Faction3	Rarity.Fixed	SpellApplyModifiers	SpellFilterType.AllyDirect						FX.Spell.FireTornado|FX.Cards.Spell.ScionsFirstWish	idle:RSX.iconScionsFirstWishIdle.name|active:RSX.iconScionsFirstWishActive.name	apply:RSX.sfx_spell_scionsfirstwish.audio	cards.faction_3_spell_scions_first_wish_description
Cards.Spell.ScionsSecondWish	cards.faction_3_spell_scions_second_wish_name	2	Factions.Faction3	Rarity.Fixed	SpellApplyModifiers	SpellFilterType.AllyDirect						FX.Spell.FireTornado|FX.Cards.Spell.ScionsSecondWish	idle:RSX.iconScionsSecondWishIdle.name|active:RSX.iconFScionsSecondWishActive.name	apply:RSX.sfx_spell_scionsfirstwish.audio	cards.faction_3_spell_scions_second_wish_description
Cards.Spell.ScionsThirdWish	cards.faction_3_spell_scions_third_wish_name	3	Factions.Faction3	Rarity.Legendary	SpellApplyModifiers	SpellFilterType.AllyDirect						FX.Spell.FireTornado|FX.Cards.Spell.ScionsThirdWish	idle:RSX.iconScionsThirdWishIdle.name|active:RSX.iconScionsThirdWishActive.name	apply:RSX.sfx_spell_scionsfirstwish.audio	cards.faction_3_spell_scions_third_wish_description
Cards.Spell.RashasCurse	cards.faction_3_spell_rashas_curse_name	2	Factions.Faction3	Rarity.Epic	SpellRashasCurse							FX.Cards.Spell.RashasCurse	idle:RSX.iconRashasCurseIdle.name|active:RSX.iconRashasCurseActive.name	apply:RSX.sfx_spell_entropicdecay.audio	cards.faction_3_spell_rashas_curse_description
Cards.Spell.RashasCurseFollowup	cards.faction_3_spell_rashas_curse_followup_name	0	Factions.Faction3	Rarity.Epic	SpellRashasCurseFollowup								idle:RSX.iconRashasCurseIdle.name|active:RSX.iconRashasCurseActive.name	apply:RSX.sfx_spell_entropicdecay.audio	cards.faction_3_spell_rashas_curse_followup_description
Cards.Spell.StarsFury	cards.faction_3_spell_stars_fury_name	5	Factions.Faction3	Rarity.Epic	SpellStarsFury							FX.Cards.Spell.StarsFury	idle:RSX.iconStarsFuryIdle.name|active:RSX.iconStarsFuryActive.name	apply:RSX.sfx_spell_starsfury.audio	cards.faction_3_spell_stars_fury_description
Cards.Spell.BoneSwarm	cards.faction_3_spell_bone_swarm_name	2	Factions.Faction3	Rarity.Common	SpellBoneSwarm			2				FX.Cards.Spell.BoneSwarm	idle:RSX.iconBoneSwarmIdle.name|active:RSX.iconBoneSwarmActive.name	apply:RSX.sfx_spell_boneswarm.audio	cards.faction_3_spell_bone_swarm_description
Cards.Spell.FountainOfYouth	cards.faction_3_spell_fountain_of_youth_name	2	Factions.Faction3	Rarity.Rare	SpellFountainOfYouth					CONFIG.WHOLE_BOARD_RADIUS		FX.Cards.Spell.FountainOfYouth	idle:RSX.iconFountainYouthIdle.name|active:RSX.iconFountainYouthActive.name	apply:RSX.sfx_spell_fountainofyouth.audio	cards.faction_3_spell_fountain_of_youth_description
Cards.Spell.InnerOasis	cards.faction_3_spell_inner_oasis_name	3	Factions.Faction3	Rarity.Rare	SpellApplyModifiers	SpellFilterType.AllyIndirect				CONFIG.WHOLE_BOARD_RADIUS		FX.Cards.Spell.InnerOasis	idle:RSX.iconInnerOasisIdle.name|active:RSX.iconInnerOasisActive.name	apply:RSX.sfx_spell_tranquility.audio	cards.faction_3_spell_inner_oasis_description
Cards.Spell.Shadowspawn	cards.faction_4_spell_shadowspawn_name	1	Factions.Faction4		SpellShadowspawn							FX.Cards.Spell.Shadowspawn	idle:RSX.iconShadowspawnIdle.name|active:RSX.iconShadowspawnActive.name	apply:RSX.sfx_neutral_makantorwarbeast_attack_impact.audio	cards.faction_4_spell_shadowspawn_description
Cards.Spell.AbyssalScar	cards.faction_4_spell_abyssal_scar_name	1	Factions.Faction4		SpellAbyssalScar			1				FX.Cards.Spell.AbyssalScar	idle:RSX.iconTaintIdle.name|active:RSX.iconTaintActive.name	apply:RSX.sfx_spell_shadowreflection.audio	cards.faction_4_spell_abyssal_scar_description
Cards.Spell.SacrificeBBS	cards.faction_4_spell_malice_name	1	Factions.Faction4		SpellSacrificeBBS	SpellFilterType.AllyDirect	false					FX.Cards.Spell.Malice	idle:RSX.iconMaliceIdle.name|active:RSX.iconMaliceActive.name	apply:RSX.sfx_spell_darkfiresacrifice.audio	cards.faction_4_spell_malice_desc
Cards.Spell.AbyssianStrength	cards.faction_4_spell_wraithling_fury_name	3	Factions.Faction4	Rarity.Epic	SpellApplyModifiers	SpellFilterType.AllyDirect						FX.Cards.Spell.AbyssianStrength	idle:RSX.iconWraithlingFuryIdle.name|active:RSX.iconWraithlingFuryActive.name	apply:RSX.sfx_spell_entropicdecay.audio	cards.faction_4_spell_wraithling_fury_description
Cards.Spell.DaemonicLure	cards.faction_4_spell_daemonic_lure_name	2	Factions.Faction4	Rarity.Fixed	SpellDamage	SpellFilterType.EnemyDirect		1				FX.Cards.Spell.DaemonicLure	idle:RSX.iconDaemonicLureIdle.name|active:RSX.iconDaemonicLureActive.name	apply:RSX.sfx_spell_daemoniclure.audio	cards.faction_4_spell_daemonic_lure_description
Cards.Spell.NetherSummoning	cards.faction_4_spell_nether_summoning_name	5	Factions.Faction4	Rarity.Legendary	SpellNetherSummoning							FX.Cards.Spell.NetherSummoning	idle:RSX.iconNetherSummoningIdle.name|active:RSX.iconNetherSummoningActive.name	apply:RSX.sfx_spell_nethersummoning.audio	cards.faction_4_spell_nether_summoning_description
Cards.Spell.ShadowNova	cards.faction_4_spell_shadow_nova_name	4	Factions.Faction4	Rarity.Fixed	SpellChokingShadows							FX.Cards.Spell.ShadowNova	idle:RSX.iconShadowNovaIdle.name|active:RSX.iconShadowNovaActive.name	apply:RSX.sfx_spell_shadownova.audio	cards.faction_4_spell_shadow_nova_description
Cards.Spell.VoidPulse	cards.faction_4_spell_void_pulse_name	1	Factions.Faction4	Rarity.Common	SpellVoidPulse			2	3			FX.Cards.Spell.VoidPulse	idle:RSX.iconVoidPulseIdle.name|active:RSX.iconVoidPulseActive.name	apply:RSX.sfx_spell_voidpulse02.audio	cards.faction_4_spell_void_pulse_description
Cards.Spell.DeathfireCrescendo	cards.faction_4_spell_deathfire_crescendo_name	3	Factions.Faction4	Rarity.Legendary	SpellApplyModifiers	SpellFilterType.AllyDirect						FX.Cards.Spell.DeathfireCrescendo	idle:RSX.iconDeathfireCrescendoIdle.name|active:RSX.iconDeathfireCrescendoActive.name	apply:RSX.sfx_spell_deathfirecrescendo.audio	cards.faction_4_spell_deathfire_crescendo_description
Cards.Spell.BreathOfTheUnborn	cards.faction_4_spell_breath_of_the_unborn_name	4	Factions.Faction4	Rarity.Common	SpellBreathOfTheUnborn			2		CONFIG.WHOLE_BOARD_RADIUS		FX.Cards.Spell.BreathOfTheUnborn	idle:RSX.iconBreathUnbornIdle.name|active:RSX.iconBreathUnbornActive.name	apply:RSX.sfx_spell_manavortex.audio	cards.faction_4_spell_breath_of_the_unborn_description
Cards.Spell.RiteOfTheUndervault	cards.faction_4_spell_rite_of_the_undervault_name	6	Factions.Faction4	Rarity.Epic	SpellRiteOfTheUndervault							FX.Cards.Spell.RiteOfTheUndervault	idle:RSX.iconRiteUndervaultIdle.name|active:RSX.iconRiteUndervaultActive.name	apply:RSX.sfx_spell_manavortex.audio	cards.faction_4_spell_rite_of_the_undervault_description
Cards.Spell.DarkSacrifice	cards.faction_4_spell_darkfire_sacrifice_name	0	Factions.Faction4	Rarity.Rare	SpellDarkSacrifice							FX.Cards.Spell.DarkSacrifice	idle:RSX.iconDarkfireSacrificeIdle.name|active:RSX.iconDarkfireSacrificeActive.name	apply:RSX.sfx_spell_darkfiresacrifice.audio	cards.faction_4_spell_darkfire_sacrifice_description
Cards.Spell.RitualBanishing	cards.faction_4_spell_ritual_banishing_name	3	Factions.Faction4	Rarity.Rare	SpellKillTarget	SpellFilterType.AllyDirect						FX.Cards.Spell.RitualBanishing	idle:RSX.iconRitualBanishingIdle.name|active:RSX.iconRitualBanishingActive.name	apply:RSX.sfx_f2tank_death.audio	cards.faction_4_spell_ritual_banishing_description
Cards.Spell.DarkTransformation	cards.faction_4_spell_dark_transformation_name	5	Factions.Faction4	Rarity.Fixed	SpellKillTargetSpawnEntity	SpellFilterType.EnemyDirect						FX.Cards.Spell.DarkTransformation	idle:RSX.iconDarkTransformationIdle.name|active:RSX.iconDarkTransformationActive.name	apply:RSX.sfx_spell_darktransformation.audio	cards.faction_4_spell_dark_transformation_description
Cards.Spell.DarkSeed	cards.faction_4_spell_dark_seed_name	4	Factions.Faction4	Rarity.Rare	SpellDarkSeed	SpellFilterType.NeutralIndirect						FX.Cards.Spell.DarkSeed	idle:RSX.iconDarkSeedIdle.name|active:RSX.iconDarkSeedActive.name	apply:RSX.sfx_spell_darkseed.audio	cards.faction_4_spell_dark_seed_description
Cards.Spell.CurseOfAgony	cards.faction_4_spell_grasp_of_agony_name	1	Factions.Faction4	Rarity.Common	SpellApplyModifiers	SpellFilterType.EnemyDirect						FX.Cards.Spell.CurseOfAgony	idle:RSX.iconCurseOfAgonyIdle.name|active:RSX.iconCurseOfAgonyActive.name	apply:RSX.sfx_spell_graspofagony.audio	cards.faction_4_spell_grasp_of_agony_description
Cards.Spell.ShadowReflection	cards.faction_4_spell_shadow_reflection_name	3	Factions.Faction4	Rarity.Common	SpellApplyModifiers	SpellFilterType.AllyDirect						FX.Cards.Spell.ShadowReflection	idle:RSX.iconShadowReflectionIdle.name|active:RSX.iconShadowReflectionActive.name	apply:RSX.sfx_spell_shadowreflection.audio	cards.faction_4_spell_shadow_reflection_description
Cards.Spell.SoulshatterPact	cards.faction_4_spell_soulshatter_pact_name	2	Factions.Faction4	Rarity.Fixed	SpellApplyModifiers	SpellFilterType.AllyIndirect				CONFIG.WHOLE_BOARD_RADIUS		FX.Cards.Spell.SoulshatterPact	idle:RSX.iconSoulShatterPactIdle.name|active:RSX.iconSoulShatterPactActive.name	apply:RSX.sfx_spell_soulshatterpact.audio	cards.faction_4_spell_soulshatter_pact_description
Cards.Spell.WraithlingSwarm	cards.faction_4_spell_wraithling_swarm_name	3	Factions.Faction4	Rarity.Fixed	SpellSpawnEntity	SpellFilterType.SpawnSource						FX.Cards.Spell.WraithlingSwarm	idle:RSX.iconWraithlingSwarmIdle.name|active:RSX.iconWraithlingSwarmActive.name	apply:RSX.sfx_neutral_makantorwarbeast_attack_impact.audio	cards.faction_4_spell_wraithling_swarm_description
Cards.Spell.ConsumingRebirth	cards.faction_4_spell_consuming_rebirth_name	2	Factions.Faction4	Rarity.Epic	SpellConsumingRebirth	SpellFilterType.AllyDirect						FX.Cards.Spell.ConsumingRebirth	idle:RSX.iconConsumingRebirthIdle.name|active:RSX.iconConsumingRebirthActive.name	apply:RSX.sfx_spell_flashreincarnation.audio	cards.faction_4_spell_consuming_rebirth_description
Cards.Spell.Overload	cards.faction_5_spell_overload_name	1	Factions.Faction5		SpellApplyModifiersToGeneral	SpellFilterType.None						FX.Cards.Spell.Overload	idle:RSX.iconOverloadIdle.name|active:RSX.iconOverloadActive.name	apply:RSX.sfx_division_crest_outline_reveal.audio	cards.faction_5_spell_overload_description
Cards.Spell.SeekingEye	cards.faction_5_spell_seeking_eye_name	1	Factions.Faction5		SpellSeekingEye							FX.Cards.Spell.SeekingEye	idle:RSX.iconSeekingEyeIdle.name|active:RSX.iconSeekingEyeActive.name	apply:RSX.sfx_spell_nethersummoning.audio	cards.faction_5_spell_seeking_eye_description
Cards.Spell.EggBBS	cards.faction_5_spell_propogate_rage_name	1	Factions.Faction5		SpellSpawnEntityNearbyGeneral	SpellFilterType.None						FX.Cards.Spell.EggBBS	idle:RSX.iconPropogateRageIdle.name|active:RSX.iconPropogateRageActive.name	apply:RSX.sfx_spell_boneswarm.audio	cards.faction_5_spell_propogate_rage_desc
Cards.Spell.FractalReplication	cards.faction_5_spell_fractal_replication_name	6	Factions.Faction5	Rarity.Epic		SpellFilterType.AllyDirect						FX.Spell.FireTornado|FX.Cards.Spell.FractalReplication	idle:RSX.iconFractalReplicationIdle.name|active:RSX.iconFractalReplicationActive.name	apply:RSX.sfx_spell_fractalreplication.audio	cards.faction_5_spell_fractal_replication_description
Cards.Spell.DampeningWave	cards.faction_5_spell_dampening_wave_name	0	Factions.Faction5	Rarity.Fixed	SpellApplyModifiers	SpellFilterType.EnemyDirect						FX.Cards.Spell.DampeningWave	idle:RSX.iconDampeningWaveIdle.name|active:RSX.iconDampeningWaveActive.name	apply:RSX.sfx_spell_drainmorale.audio	cards.faction_5_spell_dampening_wave_description
Cards.Spell.FlashReincarnation	cards.faction_5_spell_flash_reincarnation_name	0	Factions.Faction5	Rarity.Rare	SpellApplyPlayerModifiers	SpellFilterType.None						FX.Cards.Spell.FlashReincarnation	idle:RSX.iconFlashReincarnationIdle.name|active:RSX.iconFlashReincarnationActive.name	apply:RSX.sfx_spell_flashreincarnation.audio	cards.faction_5_spell_flash_reincarnation_description
Cards.Spell.DiretideFrenzy	cards.faction_5_spell_diretide_frenzy_name	2	Factions.Faction5	Rarity.Common	SpellApplyModifiers	SpellFilterType.AllyDirect						FX.Cards.Spell.DiretideFrenzy	idle:RSX.iconDiretideFrenzyIdle.name|active:RSX.iconDiretideFrenzyActive.name	apply:RSX.sfx_spell_diretidefrenzy.audio	cards.faction_5_spell_diretide_frenzy_description
Cards.Spell.Tremor	cards.faction_5_spell_tremor_name	1	Factions.Faction5	Rarity.Common	SpellApplyModifiers	SpellFilterType.EnemyIndirect						FX.Cards.Spell.Tremor	idle:RSX.iconTremorIdle.name|active:RSX.iconTremorActive.name	apply:RSX.sfx_spell_disintegrate.audio	cards.faction_5_spell_tremor_description
Cards.Spell.DanceOfDreams	cards.faction_5_spell_dance_of_dreams_name	1	Factions.Faction5		SpellApplyPlayerModifiers	SpellFilterType.None						FX.Cards.Spell.DanceOfDreams	idle:RSX.iconManaBurnIdle.name|active:RSX.iconManaBurnActive.name	apply:RSX.sfx_spell_manaburn.audio	cards.faction_5_spell_dance_of_dreams_description
Cards.Spell.GreaterFortitude	cards.faction_5_spell_greater_fortitude_name	1	Factions.Faction5	Rarity.Fixed	SpellApplyModifiers	SpellFilterType.AllyDirect						FX.Cards.Spell.GreaterFortitude	idle:RSX.iconGreaterFortitudeIdle.name|active:RSX.iconGreaterFortitudeActive.name	apply:RSX.sfx_spell_flashreincarnation.audio	cards.faction_5_spell_greater_fortitude_description
Cards.Spell.EarthSphere	cards.faction_5_spell_earth_sphere_name	4	Factions.Faction5	Rarity.Common	SpellHealYourGeneral	SpellFilterType.AllyIndirect	true		8	CONFIG.WHOLE_BOARD_RADIUS		FX.Cards.Spell.EarthSphere	idle:RSX.iconEarthSphereIdle.name|active:RSX.iconEarthSphereActive.name	apply:RSX.sfx_neutral_spelljammer_attack_swing.audio	cards.faction_5_spell_earth_sphere_description
Cards.Spell.BoundedLifeforce	cards.faction_5_spell_bounded_lifeforce_name	7	Factions.Faction5	Rarity.Epic	SpellApplyPlayerModifiers	SpellFilterType.None						FX.Cards.Spell.BoundedLifeforce	idle:RSX.iconBoundedLifeforceIdle.name|active:RSX.iconBoundedLifeforceActive.name	apply:RSX.sfx_spell_boundedlifeforce.audio	cards.faction_5_spell_bounded_lifeforce_description
Cards.Spell.Amplification	cards.faction_5_spell_amplification_name	1	Factions.Faction5	Rarity.Common	SpellApplyModifiersToDamagedMinion	SpellFilterType.AllyDirect						FX.Cards.Spell.Amplification	idle:RSX.iconAmplificationIdle.name|active:RSX.iconAmplificationActive.name	apply:RSX.sfx_spell_amplification.audio	cards.faction_5_spell_amplification_description
Cards.Spell.Metamorphosis	cards.faction_5_spell_metamorphosis_name	6	Factions.Faction5	Rarity.Legendary	SpellTempTransform	SpellFilterType.EnemyIndirect				CONFIG.WHOLE_BOARD_RADIUS		FX.Cards.Spell.Metamorphosis	idle:RSX.iconMetamorphosisIdle.name|active:RSX.iconMetamorphosisActive.name	apply:RSX.sfx_neutral_crossbones_hit.audio	cards.faction_5_spell_metamorphosis_description
Cards.Spell.PlasmaStorm	cards.faction_5_spell_plasma_storm_name	5	Factions.Faction5	Rarity.Fixed	SpellLavastorm	SpellFilterType.None				CONFIG.WHOLE_BOARD_RADIUS		FX.Cards.Spell.PlasmaStorm	idle:RSX.iconPlasmaStormIdle.name|active:RSX.iconPlasmaStormActive.name	apply:RSX.sfx_spell_immolation_a.audio	cards.faction_5_spell_plasma_storm_description
Cards.Spell.NaturalSelection	cards.faction_5_spell_natural_selection_name	2	Factions.Faction5	Rarity.Fixed	SpellNaturalSelection							FX.Cards.Spell.NaturalSelection	idle:RSX.iconNaturalSelectionIdle.name|active:RSX.iconNaturalSelectionActive.name	apply:RSX.sfx_spell_naturalselection.audio	cards.faction_5_spell_natural_selection_description
Cards.Spell.MindSteal	cards.faction_5_spell_mind_steal_name	4	Factions.Faction5	Rarity.Epic	SpellMindSteal							FX.Cards.Spell.MindSteal	idle:RSX.iconMindStealIdle.name|active:RSX.iconMindStealActive.name	apply:RSX.sfx_spell_flashreincarnation.audio	cards.faction_5_spell_mind_steal_description
Cards.Spell.EggMorph	cards.faction_5_spell_egg_morph_name	4	Factions.Faction5	Rarity.Rare	SpellEggMorph							FX.Cards.Spell.EggMorph	idle:RSX.iconEggMorphIdle.name|active:RSX.iconEggMorphActive.name	apply:RSX.sfx_spell_boneswarm.audio	cards.faction_5_spell_egg_morph_description
Cards.Spell.KineticEquilibrium	cards.faction_5_spell_kinetic_equilibrium_name	3	Factions.Faction5	Rarity.Rare	SpellDamageAndApplyModifiers	SpellFilterType.None		2				FX.Cards.Spell.KineticEquilibrium	idle:RSX.iconKineticEquilibriumIdle.name|active:RSX.iconKineticEquilibriumActive.name	apply:RSX.sfx_spell_kineticequilibrium.audio	cards.faction_5_spell_kinetic_equilibrium_description
Cards.Spell.KineticSurge	cards.faction_6_spell_kinetic_surge_name	1	Factions.Faction6		SpellKineticSurge	SpellFilterType.None						FX.Cards.Spell.KineticSurge	idle:RSX.iconKineticCoilIdle.name|active:RSX.iconKineticCoilActive.name	apply:RSX.sfx_loot_crate_card_reward_reveal_0.audio	cards.faction_6_spell_kinetic_surge_description
Cards.Spell.Warbird	cards.faction_6_spell_warbird_name	1	Factions.Faction6		SpellWarbird	SpellFilterType.None	true	2				FX.Cards.Spell.Warbird	idle:RSX.iconWarbirdIdle.name|active:RSX.iconWarbirdActive.name	apply:RSX.sfx_f6_icebeetle_death.audio	cards.faction_6_spell_warbird_description
Cards.Spell.StunBBS	cards.faction_6_spell_crystallize_name	1	Factions.Faction6		SpellApplyModifiers	SpellFilterType.EnemyDirect						FX.Cards.Spell.Crystallize	idle:RSX.iconCrystallizeIdle.name|active:RSX.iconCrystallizeActive.name	apply:RSX.sfx_f6_icebeetle_death.audio	cards.faction_6_spell_crystallize_desc
Cards.Spell.GravityWell	cards.faction_6_spell_gravity_well_name	2	Factions.Faction6	Rarity.Legendary	SpellSpawnEntity	SpellFilterType.SpawnSource						FX.Spell.FireTornado|FX.Cards.Spell.GravityWell	idle:RSX.iconGravityWellIdle.name|active:RSX.iconGravityWellActive.name	apply:RSX.sfx_spell_manavortex.audio	cards.faction_6_spell_gravity_well_description
Cards.Spell.BonechillBarrier	cards.faction_6_spell_bonechill_barrier_name	2	Factions.Faction6	Rarity.Common	SpellSpawnEntity	SpellFilterType.SpawnSource						FX.Spell.FireTornado|FX.Cards.Spell.BonechillBarrier	idle:RSX.iconBonechillBarrierIdle.name|active:RSX.iconBonechillBarrierActive.name	apply:RSX.sfx_neutral_spelljammer_attack_swing.audio	cards.faction_6_spell_bonechill_barrier_description
Cards.Spell.BlazingSpines	cards.faction_6_spell_blazing_spines_name	3	Factions.Faction6	Rarity.Rare	SpellSpawnEntity	SpellFilterType.SpawnSource						FX.Spell.FireTornado|FX.Cards.Spell.BlazingSpines	idle:RSX.iconBlazingSpinesIdle.name|active:RSX.iconBlazingSpinesActive.name	apply:RSX.sfx_f6_ancientgrove_attack_impact.audio	cards.faction_6_spell_blazing_spines_description
Cards.Spell.ChromaticCold	cards.faction_6_spell_chromatic_cold_name	2	Factions.Faction6	Rarity.Fixed	SpellChromaticCold		true	1				FX.Cards.Spell.ChromaticCold	idle:RSX.iconChromaticColdIdle.name|active:RSX.iconChromaticColdActive.name	apply:RSX.sfx_spell_icepillar.audio	cards.faction_6_spell_chromatic_cold_description
Cards.Spell.FlashFreeze	cards.faction_6_spell_flash_freeze_name	0	Factions.Faction6	Rarity.Fixed	SpellStunAndDamage	SpellFilterType.NeutralDirect		1				FX.Cards.Spell.FlashFreeze	idle:RSX.iconFlashFreezeIdle.name|active:RSX.iconFlashFreezeActive.name	apply:RSX.sfx_f6_icebeetle_death.audio	cards.faction_6_spell_flash_freeze_description
Cards.Spell.SpellPermafrostShield	cards.faction_6_spell_frostfire_name	2	Factions.Faction6	Rarity.Fixed	SpellPermafrostShield	SpellFilterType.AllyDirect						FX.Cards.Spell.IceCage	idle:RSX.iconFrostfireIdle.name|active:RSX.iconFrostfireActive.name	apply:RSX.sfx_spell_icepillar.audio	cards.faction_6_spell_frostfire_description
Cards.Spell.Avalanche	cards.faction_6_spell_avalanche_name	4	Factions.Faction6	Rarity.Fixed	SpellAvalanche	SpellFilterType.NeutralIndirect	true	4		CONFIG.WHOLE_BOARD_RADIUS		FX.Cards.Spell.Avalanche	idle:RSX.iconAvalancheIdle.name|active:RSX.iconAvalancheActive.name	apply:RSX.sfx_neutral_crossbones_hit.audio	cards.faction_6_spell_avalanche_description
Cards.Spell.ElementalFury	cards.faction_6_spell_boundless_courage_name	2	Factions.Faction6	Rarity.Epic	SpellApplyModifiers	SpellFilterType.AllyDirect						FX.Cards.Spell.ElementalFury	idle:RSX.iconUnstoppableForceIdle.name|active:RSX.iconUnstoppableForceActive.name	apply:RSX.sfx_neutral_dancingblades_death.audio	cards.faction_6_spell_boundless_courage_description
Cards.Spell.Numb	cards.faction_6_spell_mesmerize_name	1	Factions.Faction6	Rarity.Rare		SpellFilterType.EnemyDirect	true					FX.Cards.Spell.Mesmerize	idle:RSX.iconMesmerizeIdle.name|active:RSX.iconMesmerizeActive.name	apply:RSX.sfx_f6_icebeetle_death.audio	cards.faction_6_spell_mesmerize_description
Cards.Spell.MarkOfSolitude	cards.faction_6_spell_mark_of_solitude_name	2	Factions.Faction6	Rarity.Rare	SpellApplyModifiers	SpellFilterType.NeutralDirect						FX.Cards.Spell.MarkOfSolitude	idle:RSX.iconMarkOfSolitudeIdle.name|active:RSX.iconMarkOfSolitudeActive.name	apply:RSX.sfx_f6_voiceofthewind_attack_impact.audio	cards.faction_6_spell_mark_of_solitude_description
Cards.Spell.AspectOfTheWolf	cards.faction_6_spell_aspect_of_the_fox_name	2	Factions.Faction6	Rarity.Fixed	SpellAspectBase	SpellFilterType.NeutralDirect						FX.Cards.Spell.AspectOfTheWolf	idle:RSX.iconAspectFoxIdle.name|active:RSX.iconAspectFoxActive.name	apply:RSX.sfx_f6_ghostwolf_attack_swing.audio	cards.faction_6_spell_aspect_of_the_fox_description
Cards.Spell.AspectOfTheDrake	cards.faction_6_spell_aspect_of_the_drake_name	4	Factions.Faction6	Rarity.Epic	SpellAspectOfTheDrake	SpellFilterType.NeutralDirect						FX.Cards.Spell.AspectOfTheDrake	idle:RSX.iconAspectDrakeIdle.name|active:RSX.iconAspectDrakeActive.name	apply:RSX.sfx_spell_amplification.audio	cards.faction_6_spell_aspect_of_the_drake_description
Cards.Spell.AspectOfTheMountains	cards.faction_6_spell_aspect_of_the_mountains_name	6	Factions.Faction6	Rarity.Legendary	SpellAspectOfTheMountains	SpellFilterType.NeutralDirect		5				FX.Cards.Spell.AspectOfTheDrake	idle:RSX.iconAspectMountainsIdle.name|active:RSX.iconAspectMountainsActive.name	apply:RSX.sfx_spell_manavortex.audio	cards.faction_6_spell_aspect_of_the_mountains_description
Cards.Spell.RitualOfTheWind	cards.faction_6_spell_polarity_name	0	Factions.Faction6	Rarity.Common	SpellSwapStats	SpellFilterType.NeutralDirect						FX.Cards.Spell.Polarity	idle:RSX.iconPolarityIdle.name|active:RSX.iconPolarityActive.name	apply:RSX.sfx_spell_manavortex.audio	cards.faction_6_spell_polarity_description
Cards.Spell.IceCage	cards.faction_6_spell_hailstone_prison_name	2	Factions.Faction6	Rarity.Common	SpellBounceToActionbar	SpellFilterType.NeutralDirect						FX.Cards.Spell.HailstonePrison	idle:RSX.iconHailstonePrisonIdle.name|active:RSX.iconHailstonePrisonActive.name	apply:RSX.sfx_spell_icepillar.audio	cards.faction_6_spell_hailstone_prison_description
Cards.Spell.SpiritoftheWild	cards.faction_6_spell_spirit_of_the_wild_name	5	Factions.Faction6	Rarity.Epic	SpellSpiritAnimalBlessing					CONFIG.WHOLE_BOARD_RADIUS		FX.Cards.Spell.SpiritoftheWild	idle:RSX.iconSpiritOfTheWildIdle.name|active:RSX.iconSpiritOfTheWildActive.name	apply:RSX.sfx_spell_tranquility.audio	cards.faction_6_spell_spirit_of_the_wild_description
Cards.Spell.Cryogenesis	cards.faction_6_spell_cryogenesis_name	4	Factions.Faction6	Rarity.Common	SpellCryogenesis			4				FX.Cards.Spell.Cryogenesis	idle:RSX.iconCryogenesisIdle.name|active:RSX.iconCryogenesisActive.name	apply:RSX.sfx_spell_icepillar.audio	cards.faction_6_spell_cryogenesis_description
Cards.Spell.IncreasingDominance	Bolster	2	Factions.Faction1	Rarity.Common	SpellIntensifyIncreasingDominance	SpellFilterType.None						FX.Cards.Spell.Bolster	idle:RSX.iconIncreasingDominanceIdle.name|active:RSX.iconIncreasingDominanceActive.name	apply:RSX.sfx_spell_kineticequilibrium.audio	Intensify: Give friendly minions +2 Health.
